Age,Gender,Height (cm),Weight (kg),Goal,Diet Recommendation,BMI,BMI Category,Food Recommendation,Exercise Recommendation,Hydration Recommendation,Sleep Recommendation
40,Female,161,65,Weight Gain,Carb Boost,25.076193048107708,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.2 L/day,7-9 hours/night
36,Female,164,73,Weight Gain,Carb Boost,27.14158239143368,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.2 L/day,7-9 hours/night
48,Female,208,70,Weight Gain,Carb Boost,16.17973372781065,Underweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
40,Female,185,84,Weight Gain,Carb Boost,24.543462381300216,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
47,Female,146,79,Maintain Weight,Balanced,37.061362356915,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
48,Female,155,76,Weight Loss,Low Carb,31.63371488033298,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
46,Male,162,79,Weight Loss,High Fiber,30.102118579484827,Obesity,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
62,Female,163,80,Weight Loss,Low Carb,30.11027889645828,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.4 L/day,"7-9 hours/night, consistent schedule"
37,Female,182,71,Weight Loss,Low Carb,21.434609346697258,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
60,Male,158,83,Weight Loss,High Fiber,33.247876942797625,Obesity,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,"7-9 hours/night, consistent schedule"
51,Male,172,69,Weight Loss,High Fiber,23.323418063818284,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
64,Female,177,79,Weight Gain,Carb Boost,25.2162533116282,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.9 L/day,7-9 hours/night
61,Male,168,71,Maintain Weight,Balanced,25.15589569160998,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.8 L/day,7-9 hours/night
55,Male,180,54,Weight Loss,High Fiber,16.666666666666664,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
37,Male,174,60,Maintain Weight,Balanced,19.817677368212443,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
41,Male,159,94,Maintain Weight,Balanced,37.18207349392824,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.7 L/day,7-9 hours/night
41,Female,193,70,Weight Gain,Carb Boost,18.792450804048432,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
36,Female,180,71,Weight Loss,Low Carb,21.91358024691358,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
48,Male,171,62,Maintain Weight,Balanced,21.20310522895934,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
49,Male,190,66,Maintain Weight,Balanced,18.28254847645429,Underweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.7 L/day,7-9 hours/night
34,Male,194,77,Weight Loss,High Fiber,20.45913487086832,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
27,Female,180,71,Weight Gain,Carb Boost,21.91358024691358,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
48,Female,179,70,Weight Gain,Carb Boost,21.84700852033332,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
60,Female,159,66,Maintain Weight,Balanced,26.106562240417706,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.9 L/day,7-9 hours/night
20,Male,173,65,Weight Gain,High Protein,21.71806608974573,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.1 L/day,7-9 hours/night
62,Female,181,75,Weight Gain,Carb Boost,22.89307408198773,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.4 L/day,7-9 hours/night
17,Male,167,74,Maintain Weight,Balanced,26.533758829646096,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.6 L/day,8-10 hours/night
32,Male,172,79,Weight Gain,High Protein,26.703623580313685,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.2 L/day,7-9 hours/night
67,Female,161,66,Weight Gain,Carb Boost,25.461980633463213,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.9 L/day,7-8 hours/night
32,Male,163,55,Weight Loss,High Fiber,20.70081674131507,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
35,Female,195,68,Maintain Weight,Balanced,17.882971729125575,Underweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
38,Male,163,64,Maintain Weight,Balanced,24.088223117166624,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
37,Female,158,69,Weight Loss,Low Carb,27.639801313892,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
23,Female,176,79,Weight Loss,Low Carb,25.50361570247934,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.5 L/day,"7-9 hours/night, consistent schedule"
41,Female,165,72,Weight Loss,Low Carb,26.44628099173554,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
33,Male,158,62,Weight Gain,High Protein,24.83576349943919,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
18,Female,172,60,Maintain Weight,Balanced,20.28123309897241,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.0 L/day,7-9 hours/night
29,Female,171,69,Weight Gain,Carb Boost,23.59700420642249,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
58,Male,156,77,Weight Loss,High Fiber,31.64036817882972,Obesity,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,"7-9 hours/night, consistent schedule"
39,Male,181,69,Maintain Weight,Balanced,21.06162815542871,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
54,Female,191,67,Weight Loss,Low Carb,18.36572462377676,Underweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
19,Male,152,75,Maintain Weight,Balanced,32.46191135734072,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.1 L/day,7-9 hours/night
69,Male,155,66,Weight Gain,High Protein,27.47138397502601,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.8 L/day,7-8 hours/night
57,Male,178,77,Maintain Weight,Balanced,24.30248705971468,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,7-9 hours/night
54,Male,174,75,Weight Loss,High Fiber,24.77209671026556,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
34,Male,166,71,Maintain Weight,Balanced,25.76571345623458,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.2 L/day,7-9 hours/night
52,Male,168,75,Weight Loss,High Fiber,26.573129251700685,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",4.2 L/day,"7-9 hours/night, consistent schedule"
25,Male,190,68,Weight Loss,High Fiber,18.83656509695291,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
29,Female,190,73,Weight Gain,Carb Boost,20.221606648199447,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
36,Male,172,89,Weight Gain,High Protein,30.08382909680909,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
27,Male,162,60,Maintain Weight,Balanced,22.86236854138088,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,7-9 hours/night
33,Female,185,60,Maintain Weight,Balanced,17.531044558071585,Underweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
30,Male,172,73,Weight Gain,High Protein,24.675500270416443,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
68,Male,159,78,Weight Loss,High Fiber,30.853209920493647,Obesity,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,7-8 hours/night
57,Female,159,52,Weight Gain,Carb Boost,20.56880661366243,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.4 L/day,7-9 hours/night
22,Male,157,82,Weight Gain,High Protein,33.26706965799829,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.1 L/day,7-9 hours/night
31,Female,173,92,Maintain Weight,Balanced,30.73941661933242,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
20,Female,180,85,Weight Gain,Carb Boost,26.234567901234566,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.5 L/day,7-9 hours/night
67,Male,168,67,Weight Gain,High Protein,23.73866213151928,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.3 L/day,7-8 hours/night
38,Female,202,71,Weight Loss,Low Carb,17.400254876972845,Underweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
36,Male,184,69,Weight Gain,High Protein,20.38043478260869,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
62,Female,162,85,Weight Gain,Carb Boost,32.38835543362292,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.4 L/day,7-9 hours/night
30,Male,174,76,Maintain Weight,Balanced,25.102391333069097,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.2 L/day,7-9 hours/night
43,Female,180,73,Maintain Weight,Balanced,22.530864197530864,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,7-9 hours/night
39,Male,186,73,Weight Gain,High Protein,21.10070528384784,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
51,Female,176,73,Weight Gain,Carb Boost,23.56663223140496,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
63,Male,167,77,Weight Gain,High Protein,27.60945175517229,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.8 L/day,7-9 hours/night
40,Female,157,86,Weight Gain,Carb Boost,34.889853543754306,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
30,Female,188,69,Weight Gain,Carb Boost,19.52240832956089,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
46,Female,185,73,Weight Loss,Low Carb,21.32943754565376,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
40,Male,190,65,Weight Gain,High Protein,18.005540166204987,Underweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
